wid,cleaned_hm,age,gender,marital,parenthood
92,I went to my sister's house to celebrate my birthday. It was a very happy moment,54,f,married,y
93,I managed to do 20 pushups finally.,35,m,single,y
94,Some colleagues and I finished a project we've been working on.,28,m,single,n
95,I had a great date night with my wife.,37,m,married,y
96,I Calm because today is my birthday. Thank you mom,28,f,married,y
97,Getting accepted into graduate school ,29,m,single,n
98,My daughter smiling at me when she first woke up and saw my face.,34,m,married,y
99,I reached an important milestone in a book that I'm writing.,38,m,single,n
100,"Today is my son's birthday, and he was so excited to open his gifts from us!",34,m,married,y
101,i got the unlimited offer in Airtel.,29,m,married,y
102,My son results is today its got very good he scored 99% in school its so happy to see the results,27,f,married,y
103,"I went to the park with my son after work yesterday.
",26,f,single,y
104,I walked to work and back with my partner.,25,m,married,n
105,"Ordered pizza from a local pizzeria, best pizza in town. ",34,m,divorced,y
106,I adopted a cat.,44,f,married,y
107,Providing dinner and relaxation for my fiancee before she had to leave on a trip,37,m,single,y
108,My dog greeted me when I came home. ,26,m,single,n
109,It's my friends birthday and we celebrated at lunch.,65,m,married,y
110,"One reason that experiences (and memories of those experiences) make us happier than material things is due to the entire cycle of enjoyment that experiences provide: planning the experience, looking forward to the experience, enjoying the experience, and then remembering the experience. Make your home a gallery of positive memories. ",25,m,single,y
111,Finding out that I can get my health care premiums paid for by a trust.,35,o,single,y
112,I found the perfect colored rocks for my Betta fish bowl.  ,48,f,married,y
113,I stayed up late last night to work on an Mturk batch and made $25 for the day.,59,f,single,n
114,My sick dog that has not been eating started to eat again. ,34,m,married,y
115,Found out my friends paper's was accepted at a major conference.,25,m,single,n
116,I WENT TO TEMPLE,27,f,single,n
117,I made a new friend online,22,m,single,n
118,I had really good tacos for dinner. ,34,f,single,n
119,Today morning. got delivery of My new bullet bike which was my life dream. I used to take my kids roaming around the city in the new vehicle .I am enjoying this happy moment along with my family.,47,m,married,y
120,Julia was such a good girl last night on the lunge and was trying very very hard to do what was asked of him without getting panicky and throwing a resulting wobbles!,25,m,single,n
121,My neighbor came over to see the completion of my project.  She gave many positive compliments which made me happy. ,57,f,divorced,y
122,Spent an hour talking with an old friend.,32,m,single,n
123,I spread mulch on my backyard garden-bed making it look fresh and beautiful for the coming Spring.,29,m,single,n
124,I went for a jog.,28,m,single,n
125,My son won the senior elementary science fair in the engineering category ,39,o,married,y
126,Talking on the phone with my mom this morning,34,m,married,y
127,A couple hours ago I found out I got 10/10 on this exam that I prepared a very long time for. ,21,m,single,n
128,My favorite tv show came on.,25,f,single,n
129,I Djed online,25,m,single,n
130,I was able to convince my son to eat his potatoes at dinner!!,33,f,married,y
131,I had a picnic in the woods.,32,m,single,n
132,"This is the happiest moment of my life. Being born here, i could never imagine this university actually existing.",30,f,married,y
133,I got to sleep in on a Saturday.,40,m,single,n
134,The bakery had my favorite pastry.,37,f,single,n
135,I reached a goal in a video game that I was playing.,23,m,single,n
136,The icing on the cake is that that boy belongs to a relatively poor and uneducated family living on my street. The very fact that he was trying to communicate with me with the little English that he had learned in school made my day.,30,m,married,y
137,I went to the gym and ran for 20 minutes.,28,m,divorced,n
138,I spent quality time with my spouse. We went for a short two days trip. This was the best time recently we spent together.,30,m,married,y
139,I went to a carnival that came into town and got ice cream.,30,m,married,y
140,I went to watch a soccer match at the stadium. Had fun cheering up for my team,33,m,married,n
141,Last month I made over 1200 dollars on mturk and that made me very happy.,35,m,single,n
142,NEWS  PAPPER   READING,55,m,married,y
143,"When I woke up after a good nights sleep, a sense of satisfaction hit me.",29,m,married,y
144,I went for a long drive with my family in a car.There we planed for Get together party with my whole family.I enjoyed a lot.,25,m,single,n
145,I was happy when I went for a nice long walk outside.  ,29,f,single,n
146,I left my key in my motor cycle and searched for half an hour. My neighbor house uncle came and gave the key and I was very happy. ,25,m,single,n
147,"I got to cook a food that I had wanted to cook since I was little, and it ended up being really good.",31,m,single,n
148,My dentist told me I do not need root canal.,40,f,married,y
149,The most difficult part to play in a life is a relationship and I found myself playing in the family very well for a day last month.,45,m,married,y
150,I am happy that I finished a very special project that I needed to do for my church.,69,m,married,y
151,My friend invited me over on Saturday for a few drinks.,28,m,single,n
152,I went on vacation for a whole week. ,30,m,married,y
153,There were breakfast treats at work yesterday and it was very nice.,55,f,married,y
154,I was given $10 by a stranger in line for coffee today.,32,f,married,n
155,I WENT TO SHOPPING,28,f,married,n
156,I napped with my husband on the bed this afternoon and it was sweet to cuddle so close to him.,47,f,married,n
157,"My spouse gave me a kiss and big hug in the morning,when i go to office",33,m,married,n
158,i got engaged with my lover yesterday,30,m,single,n
159,Winning a competition with my mates.,29,m,single,n
160,"A couple of weeks ago, I had a week off from work and took the time to knock a lot of things off my to do list.",37,m,married,y
161,I completed a large audit perfectly at work when I don't usually do that work.,53,f,married,y
162,I progressed on my barbell bench press after plateauing.,23,m,single,n
163,"last night i meet my childhood friend ,that time i feel very happy and that day we are enjoy a lot.we went a movie and also dinner at restaurant.",30,m,single,n
164,I WENT TO MOVIE,27,m,married,n
165,i had helped my mother in cooking.,30,m,married,y
166,Today we purchased a new laser engraver at work which will be a great thing to increase sales and bring in new customers.,54,f,single,n
167,I beat The Legend of Zelda.,34,m,single,n
168,I reached a new fitness goal of mine.,28,m,single,n
169,I spent the day yesterday with friends. We had a really good time in the city and had a great dinner. ,29,f,single,n
170,I talked to my son on the phone.,68,f,separated,y
171,I ran a mile under 6 minutes today and it made me feel fast.,31,m,married,n
172,I WEND TO TEMPLE,27,m,married,n
173,"There's always a moment when you start to fall out of love, whether it's with a person or an idea or a cause, even if it's one you only narrate to yourself years after the event: a tiny thing, a wrong word, a false note, which means that things can never be quite the same again.",55,f,married,y
174,"I got the ""play of the game"" in the video game Overwatch.",31,m,married,y
175,Last month it made me very happy to buy a new cell phone with my own money.,20,m,single,n
176,I made homemade pizza and it tasted delicious when I thought it would be awful.,26,f,married,y
177,I was cuddling with my girlfriend in bed.,25,m,single,n
178,Rick and Morty came out with a surprise episode last night.,38,m,married,y
179,I enjoyed play Soccer with my brother,22,m,single,y
180,I made $35 on Amazon turk today.,35,m,single,n
181,Today made me happy because I was able to enjoy time with some of my co-workers outside of work.,44,m,married,y
182,I WENT TO YOGA,28,m,married,n
183,I bought a new car.,30,m,single,n
184,My son was able to have some friends over for a birthday party.,49,f,married,y
185,"I got the last question on final Jeopardy correct, and it was a challenging science topic.",36,m,single,n
186,I worked on my garden in the nice warm weather. The plants were all growing so nicely and the air was so clean.,44,m,single,y
187,I got a new smartphone as a gift from from my uncle.,25,m,single,n
188,our family went trip to the Delhi for taking photographs of taj mahal. it is one of the seven beauties in the world,26,m,married,y
189,Finding a show on amazon prime which I actually enjoyed made me happy in the past 24 hours.,33,m,married,y
190,I got to play with a friend's new puppy.,23,m,single,n
191,I WENT DO MOVIE,28,f,married,n
192,I WENT TO SHOPPING,28,m,married,y
193,Just got another PR while riding my bike home.,28,m,single,n
194,My friends came over and helped me build my IKEA bed.,26,f,single,n
195,"I made a new recipe for peasant bread, and it came out spectacular!",30,m,single,n
196,What made me happy today is learning how to juggle more than 2 balls today. ,30,f,married,y
197,One thing that made me happy on the past 24 hours was spending quality time with my girlfriend.,24,m,single,n
198,My dad getting a good report from the doctor,38,f,divorced,y
199,I had a great dinner at a Lebanese restaurant with a friend.,31,f,single,n
200,complete my pending job task today.,35,m,married,n
201,"One Month ago, one morning just beyond daybreak, I was snug in my bed, blankets tucked under my chin, sleeping the sound, deep, dreamless, sleep that comes upon a mother of two toddlers. When, suddenly, my left eyelid was peeled back from my eyeball. It's a happy day!a ",34,m,married,y
202,I'm trying to study individual frames of animation and I'm pleased by the results. ,24,m,single,n
203,An event that made me happy was going to a concert out of town with my brother. ,26,m,single,n
204,I was happy when I found out that Michael Flynn was willing to testify in exchange for immunity because I am hopeful that he will expose the truth about Russian collusion in the Trump administration.,30,f,single,n
205,Being reinstated to school.,54,f,married,y
206,We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.,28,f,married,n
207,Meeting two new puppies that my sister adopted.,42,m,married,n
208,My back stopped hurting.,45,f,single,n
209,Dell lowered the price of a computer monitor I wanted to buy by $100 and offers some additional savings.,28,m,single,n
210,I had a pleasant conversation with a girl I like. ,26,m,single,n
211,"I pass an final, that I was dreading.",27,m,single,n
212,my mom made me my favorite pancakes after long time.,24,m,single,n
213,"Its the little things, when I went to the gym today to do squats and other leg lifts, the power-cage was open all afternoon.",30,f,married,y
214,"Lying in the bed listening to the rain outside. 
Listening to old songs and being able to remember all the lyrics.",22,f,single,n
215,My Mother gave me a surprise visit at my home.,26,m,married,n
216,I WENT TO TEMPLE,27,m,married,n
217,When I began to do all the overtime I wanted to pay off some bills.,44,f,single,y
218,I qualified in the inter collegiate tennis tournament as a university player which was held at bangalore.,34,f,married,y
219,I was really happy today when my son took a long nap so I could get some things done around the house.,33,m,married,y
220,I was able to get a Xbox Game.,22,m,single,n
221,I PURCHASE A NEW BIKE IN LOW PRICE DUE TO BS4 VEHICLE LAUNCHED.,31,m,married,y
222,I went to National Park and enjoyed with my family members.,26,f,single,n
223,My wife talked to me with love and concern.,28,m,married,y
224,We the whole family went out for a hill station and its highest peak of our location. We visited many places and stayed there for three days. We really enjoyed the trip.,31,m,married,y
225,It made me happy when I got to get some fries for lunch earlier,25,m,single,n
226,I went downtown with friends for my good friend's birthday. We had an absolute blast. ,32,f,single,n
227,"past month i got a gift from my uncle, which makes me happy",37,f,married,n
228,"I talked with my sister after a long time , after her marriage.",24,m,single,n
229,I finally mastered how to make crispy tofu.,35,f,single,n
230,"I am a Type 1 Diabetic.  Today, my blood sugars were in a good range all day.",34,m,single,n
231,"I got to snuggle with my boyfriend, who I had not seen in two weeks.",39,f,single,y
232,My husband presented a new smartphone for me.  I was so happy. ,26,f,married,y
233,I was given a nice compliment at work.,26,m,single,n
234,I got a new role as a project manager in a team I'm working on with a side-job I have.,25,m,single,n
235,"I was struggling at college, having a hard time studying and trying to get higher grades. I had an exam yesterday. after it a friend told me aIam proud of you! your persistance despite everything you've been through is remarkable and I admire you for ita",27,m,single,n
236,"My happy moment on the past month, I went to science exhibition with my college student. Its fantastic and useful for everything. ",24,f,single,n
237,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,27,m,married,n
238,"Go to the amusement park with my family
",33,m,married,y
239,. The day I enjoyed married my spouse. ,34,m,married,y
240,"I ate chicken, rice, and vegetables for lunch.",30,m,single,n
241,I got my kids a xbox.,24,f,single,y
242,My mother in law (who can be hard to please) complimented me on how my house looks and how I had got the garden looking nice.,34,f,married,n
243,I finished producing a song in a software program and it came out good. ,26,m,single,n
244,I was happy when my parents came over my house to play with my baby.  My baby's smiles and giggles made my day.,31,f,married,y
245,Being able to sleep in unexpectedly.  My husband got up with the kids.,33,f,married,y
246,I went to dinner with my friends that I hadn't seen in a while.,29,m,divorced,n
247,I got a new puppy.,21,m,single,n
248,"I was able to take a beautiful picture using my new DSLR camera in downtown Naperville, IL.",30,m,married,n
249,"Lying in the bed listening to the rain out side.
Listening to old songs and being able to remember all the lyrics.",26,f,married,y
250,"I met up with 88 year old aunt for lunch. We caught up with all the family news.
",43,f,married,y
251,I came to my office at right time.,22,m,single,n
252,I had a photo published in a major publication.,56,f,single,n
253,Watching the University of North Carolina (my favorite basketball team) win the NCAA Basketball Championship,32,m,single,n
254,Having the chance to finally proper leash train my dog so taking her on walks is easier.,29,m,single,n
255,I visited my parents back in my hometown,24,m,single,n
256,I got to go get tacos for lunch. That made me super happy,25,m,married,n
257,my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,27,f,single,n
258,I went on an incredible hike with my sister and we got to explore a cool waterfall.,36,m,single,n
259,Today morning my friend come from USA and he give me a new mobile phone.,30,m,single,n
260,We made spaghetti and sat down to eat as a family.,32,m,married,y
261,"I went for a run in the neighborhood. I enjoyed the perfect weather.
",25,f,married,y
262,My cat snuggled with me while we slept.,26,f,single,n
263,Seeing the new Power Rangers movies because it brought back so many feelings.,22,m,single,y
264,i buy new smartphone,33,m,divorced,n
265,My husband and my daughter worked on her car together.,37,f,married,y
266,"my son went to football match with his friends, he came home very happy that his team won the match.seeing him happy we felt very happy.",32,f,married,y
267,Going to Tucker's ice cream parlor and getting some burgundy cherry ice cream.,29,m,married,n
268,I had a great online fight video game with my friend and won in that match.,32,f,married,y
269,"One of the ba's, admittedly a COUGAR met on POF told me how much she wanted to be with Big Dad!",28,m,single,n
270,I got to listen to a lot of talks on the radio about religion and spirituality. It inspired me and will help me be a better person now.,23,m,married,n
271,Being able to breath again without being dependent on constantly utilizing an asthma inhaler.,36,m,married,y
272,I got to play about 3 hours of Zelda the breath of the wild on my Switch while the kids were asleep.,28,f,single,y
273,I stained and put together a pallet board shelf and put a star on it. First time making one and it came out nice. ,46,f,widowed,n
274,My boyfriend and I met up to talk and he was looking into my eyes and smiling giddily. ,32,f,single,n
275,My back hurt less.  It made me hopeful.,38,m,single,n
276,When I finished landscaping the front yard with my wife helping me.,68,m,married,y
277,I made an amazing Italian roast coffee.,31,m,single,n
278,I played a game with a friend.,30,m,single,n
279,I found out that my supervisor signed the form to allow me to apply for another job at the same company.,27,f,single,n
280,"one month ago, one morning just beyond daybreak, I was snug in my bed, blankets tucked under my chin, sleeping the sound, deep, dreamless, sleep that comes upon a mother of two toddlers. When, suddenly, my left eyelid was peeled back from my eyeball. ""It's a happy day!a",33,m,married,y
281,"The guy that I like, who usually only wants to hang out at his apartment, came to hang out with me at mine -- while it may seem small, it was a big deal to me. ",25,m,single,n
282,My happiest moment when everyday my mom kiss me on my head.,24,f,single,n
283,My staff meeting got cancelled.,38,f,married,y
284,Me and my co-worker completed a difficult job at work. ,34,m,single,n
285,"I made us a big hearty breakfast consisting of eggs, ham and hash-browns.",43,m,single,n
286,"This morning, I went to Sonic with my parents.",24,m,single,n
287,I received a surprise gift in the mail from my father.  ,35,m,single,y
288,Went to my parents place after very long time,23,f,married,y
289,I purchased a New Computer for my office use.,31,m,single,n
290,We learned a friend is bringing by a wonderful dog for us to dog sit for a week.,62,f,married,y
291,I was at church participating in corporate worship and the lyrics to a new song reminded me of one of the beautiful attributes of God.,70,m,married,y
293,What made me happy was receiving my grades for college and getting 4 A's and 1 B.,23,m,single,n
294,"Lyling in the bed listening to the rain outside.
Listening to old songs and being able to member all the lyrics.",21,f,single,n
295,"I found an interesting book at the library, a book I didn't know existed.",34,m,single,n
296,I found a parking spot close to my apartment.,24,f,single,n
297,My daughter and I spent two hours listening to classic rock songs from the 80s. It was a lot of fun exposing her to this music and she enjoyed it quite a bit.,54,f,married,y
298,I had lunch with my mom at one of our favorite spots.,26,f,single,n
299,i bought a LED TV by replacing older TV. i am very happy to see programmes.,25,m,married,y
300,Eating french toast for breakfast.,33,m,married,y
301,"When my children got up this morning, I received big hugs and kisses from each of them.",41,f,married,y
302,I got done with a test that I had been nervous about taking. I think I did pretty good too.,25,m,single,n
303,"Two weeks ago I had a barrel racing competition; I thought I was going alone, but my family surprised me and showed up. ",27,f,single,n
304,I celebrated my father's birthday first time at last month and i gave a surprised party that makes my father to be very happy that moment is my happiest moment on last month.,22,f,single,n
305,I was very happy when I learned how to ski and I was surprisingly good at it. ,31,m,single,n
306,Walked around our Downtown for 5 miles with 2 dear friends.,37,f,single,n
307,My happiest moment when everyday my mom kiss me on my head.,22,f,single,n
308,Last night my team (UNC tarheels) won their basketball game in the final four and they're going to the championship!,23,f,single,n
309,I was happy to talk to my parents for the first time in a long time.,24,m,single,n
310,In the last 24 hours I was happy because I went to a movie theater and enjoyed a movie.,83,m,married,y
311,I made a bunch of extra sales in my side business last night.,27,m,single,n
312,Got to spend the day trout fishing with my dad and my father and law and my son.,44,m,married,y
313,  I AM GOING TO MY COUSIN MARRIAGE IT'S A VERY COLOR FULL  DAY.IT'S A HAPPY MOMENT IN MY LIFE,22,f,single,n
314,My favorite hockey team winning yesterday.,33,m,married,n
315,My favorite baseball team won their second game of the 2017 season in a hard-fought effort and it was great because they lost the first game of the year!,74,f,married,y
316,"In the past 24 hours, My girlfriend and I spent the day preparing Lasagna which is my favorite food.",21,m,single,n
317,I talked to my sibling.,prefer not to say,m,single,n
318,I got my disability check. I was able to pay rent,44,f,divorced,y
319,"At work, I got a call from a prospective client for a big project.",41,m,married,y
320,I bumped in to my neighbor downstairs (that I have a massive crush on) as I was going out to get the mail.,39,m,single,n
321,THE OFFICE TRIP HELD AT LAST WEEK MADE ME HAPPY.THE EACH AND EVERY MOMENT THAT WE SPEND IN OUR TRIP IS UNFORGETTABLE.,23,f,married,n
322,"Lying in the bed listening to the rain outside.
Listening to old songs and being able to remember all the lyrics.",25,m,single,n
323,"I picked up my dog from my parents' house, and I hadn't seen him in over a week.",29,m,married,n
324,I finally purchased a membership for which i was striving.,26,m,single,n
325,I sold my motorcycle and got 2 thousand dollars for it which is a lot,34,m,single,n
326,I won a contest at my job for top sales.,36,m,single,n
327,I am happy today because I received a 4% raise from the company that I work for.  ,37,f,separated,y
328,"At work, one of our vendors brought me a Star wars Death start fathead then came over and installed it in my office!",40,m,married,y
329,I drank my morning matcha latte.,30,o,married,y
330,"I was very tired after work, but I still managed to go for a 12 mile bicycle ride. This is great since I had knee surgery 2 months ago.",51,m,divorced,y
331,I went to a follow up visit with my doctor and discovered that the issue I was worried about was in fact a non-issue and I didn't have to return for six months.,61,f,married,n
332,The weather cooperated and it was not a cold morning!,31,m,married,y
333,I texted with a member of the opposite sex that I am attracted to.,27,m,single,n
334,I finally convinced my girlfriend to go to the movies with me. We both had a lot of fun and it was a nice night.,23,f,single,n
335,"While I' m lying down on the sofa, my mother tickle me....i was laughing",22,f,single,n
336,I took my son to a doctor's appointment last week regarding his ADHD treatment. The doctor prescribed a new medication and we are already having great results. I'm happy to see my son behaving better and I know he's happier too.,38,f,divorced,y
337,I got to play with my bany nephew at his house.,31,m,divorced,n
338,Watching my partner complete a workout and seeing him be proud of himself (he's been injured recently).,38,f,single,n
339,I went with my girlfriend down to Miami to have a relaxing weekend.,32,m,single,n
340,My husband made me a nice meal of a favorite dish.,43,f,married,y
341,Summer holidays have began for my kids and i was happy,29,f,married,y
342,The kids and I visited the zoo with some friends.,32,f,single,n
343,"I went to the thrift store and found three good shirts, two of which were new with the tags still on.",38,m,married,y
344,My happiest moment is last month I went to tour with my friends.And we enjoyed a lot in that tour.That is my happiest moment.,21,f,single,n
345,I went out to a local hockey game with my brothers.,41,m,married,y
346,"MY HAPPINESS MOMENTS IN MY BROTHER BIRTHDAY FUNCTION.BECAUSE  A HAPPINESS MOMENTS FOR MY LIFE .
",23,f,single,n
347, I successfully completed my project and all the subordinate and boss congratulate me.,40,f,married,y
348,"Lyling in the bed listening to the rain outside.
Listening to old songs and being able to member all the lyrics.",22,f,single,n
349,Outing which I made with my boyfriend made me happy.,24,m,single,n
350,"Today in morning I go for a walk with my husband and slowly slowly we are walking with holding each other hands, it makes me feel happy, I am still feeling happiness of that moment.",36,m,married,y
351,I helped my nephew with his school project.,37,m,single,n
352,Lying in the bed listening to the rain outside. Listening to old songs and being able to remember all the lyrics.,23,f,single,n
353,I came back to work and was quite efficient.,29,m,single,n
354,Going to dunkin' donuts and getting a free dozen of them made me happy today.,26,m,single,n
355,I went to the hotel with my friends. That moment I am so happy.,27,m,married,y
356,I was planning a trip to Russia and the itinerary was  confirmed yesterday.,25,m,single,n
357,Having dinner with my parents,26,m,married,n
358,MY HAPPIEST MOMENT IN MY LIFE IS GETTING THE U.S. VISA CAN'T FORGET ANYWAY THAT MOMENT IN MY EXISTENCE.,22,f,single,n
359,I got to stay home from work today to take care of some stuff around the house.,40,f,married,y
360,My wife and I had a lovely romantic experience that made me so happy.,31,m,married,y
361,"After shoveling my neighbor's driveway a couple weeks back, they surprised me by ordering me a pizza for dinner.",31,m,single,n
362,THE HAPPIEST MOMENT IN MY LIFE FOR THE PAST MONTH WAS GETTING MY MASTER DEGREE FROM ANNA UNIVERSITY...,25,f,single,n
